Substructure,Frequency0,OccurrenceList0
N,2,"1,0,1,0"
C,4,"1,1,1,1"
O,4,"1,1,1,1"
NN,1,"1,0,0,0"
CN,1,"1,0,0,0"
CO,4,"1,1,1,1"
C=N,1,"1,0,0,0"
CNN,1,"1,0,0,0"
NCO,1,"1,0,0,0"
N=CN,1,"1,0,0,0"
N=CO,1,"1,0,0,0"
C=NN,1,"1,0,0,0"
NNCO,1,"1,0,0,0"
N=CNN,1,"1,0,0,0"
N=C(N)O,1,"1,0,0,0"
NC=NN,1,"1,0,0,0"
NN=CO,1,"1,0,0,0"
N=C(O)NN,1,"1,0,0,0"
NN=CNN,1,"1,0,0,0"
NN=C(N)O,1,"1,0,0,0"
NN=C(O)NN,1,"1,0,0,0"
CC,2,"0,1,0,1"
C=O,3,"0,1,1,1"
CCO,2,"0,1,0,1"
COC,1,"0,1,0,0"
O=CO,3,"0,1,1,1"
CC=O,2,"0,1,0,1"
CCC,2,"0,1,0,1"
COCC,1,"0,1,0,0"
COC=O,1,"0,1,0,0"
CCOC,1,"0,1,0,0"
CC(=O)O,2,"0,1,0,1"
CCCO,2,"0,1,0,1"
CCC=O,2,"0,1,0,1"
CCCC,1,"0,1,0,0"
CCOC=O,1,"0,1,0,0"
CCOCC,1,"0,1,0,0"
COC(C)=O,1,"0,1,0,0"
CCCOC,1,"0,1,0,0"
CCC(=O)O,2,"0,1,0,1"
CCCCO,1,"0,1,0,0"
CCCC=O,1,"0,1,0,0"
CCOC(C)=O,1,"0,1,0,0"
CCCOCC,1,"0,1,0,0"
CCC(=O)OC,1,"0,1,0,0"
CCCCOC,1,"0,1,0,0"
CCCC(=O)O,1,"0,1,0,0"
O=CCCCO,1,"0,1,0,0"
OCCCCO,1,"0,1,0,0"
O=CCCC=O,1,"0,1,0,0"
CCOC(=O)CC,1,"0,1,0,0"
CCCCOCC,1,"0,1,0,0"
CCCC(=O)OC,1,"0,1,0,0"
COCCCC=O,1,"0,1,0,0"
COCCCCO,1,"0,1,0,0"
O=CCCC(=O)O,1,"0,1,0,0"
O=C(O)CCCO,1,"0,1,0,0"
CCCC(=O)OCC,1,"0,1,0,0"
CCOCCCC=O,1,"0,1,0,0"
CCOCCCCO,1,"0,1,0,0"
COC(=O)CCC=O,1,"0,1,0,0"
COC(=O)CCCO,1,"0,1,0,0"
COCCCC(=O)O,1,"0,1,0,0"
COCCCCOC,1,"0,1,0,0"
O=C(O)CCC(=O)O,1,"0,1,0,0"
CCOC(=O)CCC=O,1,"0,1,0,0"
CCOC(=O)CCCO,1,"0,1,0,0"
CCOCCCC(=O)O,1,"0,1,0,0"
CCOCCCCOC,1,"0,1,0,0"
COC(=O)CCC(=O)O,1,"0,1,0,0"
COCCCC(=O)OC,1,"0,1,0,0"
CCOC(=O)CCC(=O)O,1,"0,1,0,0"
CCOC(=O)CCCOC,1,"0,1,0,0"
CCOCCCC(=O)OC,1,"0,1,0,0"
CCOCCCCOCC,1,"0,1,0,0"
COC(=O)CCC(=O)OC,1,"0,1,0,0"
CCOC(=O)CCC(=O)OC,1,"0,1,0,0"
CCOCCCC(=O)OCC,1,"0,1,0,0"
CCOC(=O)CCC(=O)OCC,1,"0,1,0,0"
c,2,"0,0,1,1"
cc,2,"0,0,1,1"
cC,2,"0,0,1,1"
cO,1,"0,0,1,0"
cN,1,"0,0,1,0"
ccc,2,"0,0,1,1"
ccN,1,"0,0,1,0"
Ccc,1,"0,0,1,0"
ccO,1,"0,0,1,0"
cC=O,1,"0,0,1,0"
cCO,1,"0,0,1,0"
cccc,2,"0,0,1,1"
cccN,1,"0,0,1,0"
Cccc,1,"0,0,1,0"
cc(c)N,1,"0,0,1,0"
Cc(c)c,1,"0,0,1,0"
cccO,1,"0,0,1,0"
ccC=O,1,"0,0,1,0"
ccCO,1,"0,0,1,0"
CccO,1,"0,0,1,0"
cc(c)O,1,"0,0,1,0"
cC(=O)O,1,"0,0,1,0"
ccccc,2,"0,0,1,1"
Ccccc,1,"0,0,1,0"
ccccN,1,"0,0,1,0"
ccc(c)N,1,"0,0,1,0"
Cc(c)cc,1,"0,0,1,0"
ccccO,1,"0,0,1,0"
cccC=O,1,"0,0,1,0"
cccCO,1,"0,0,1,0"
Cc(c)cO,1,"0,0,1,0"
cc(c)C=O,1,"0,0,1,0"
cc(c)CO,1,"0,0,1,0"
ccc(c)O,1,"0,0,1,0"
ccC(=O)O,1,"0,0,1,0"
Ccc(c)O,1,"0,0,1,0"
O=CccO,1,"0,0,1,0"
OCccO,1,"0,0,1,0"
NcccO,1,"0,0,1,0"
Cc(c)ccc,1,"0,0,1,0"
c1ccccc1,2,"0,0,1,1"
cccccO,1,"0,0,1,0"
cccccN,1,"0,0,1,0"
Cccccc,1,"0,0,1,0"
CccccN,1,"0,0,1,0"
ccccC=O,1,"0,0,1,0"
ccccCO,1,"0,0,1,0"
cccc(c)N,1,"0,0,1,0"
ccc(N)cc,1,"0,0,1,0"
Cc(cc)cc,1,"0,0,1,0"
Cc(cO)cc,1,"0,0,1,0"
ccc(c)C=O,1,"0,0,1,0"
ccc(c)CO,1,"0,0,1,0"
cccc(c)O,1,"0,0,1,0"
cccC(=O)O,1,"0,0,1,0"
cc(N)ccO,1,"0,0,1,0"
Cc(c)c(c)O,1,"0,0,1,0"
cc(C=O)cO,1,"0,0,1,0"
cc(CO)cO,1,"0,0,1,0"
cc(c)C(=O)O,1,"0,0,1,0"
ccc(O)cc,1,"0,0,1,0"
Ccc(O)cc,1,"0,0,1,0"
cc(O)cC=O,1,"0,0,1,0"
cc(O)cCO,1,"0,0,1,0"
O=C(O)ccO,1,"0,0,1,0"
cc(O)ccN,1,"0,0,1,0"
Cc1ccccc1,2,"0,0,1,1"
Cc(cO)ccc,1,"0,0,1,0"
Cc(c)cccN,1,"0,0,1,0"
cccc(c)C=O,1,"0,0,1,0"
cccc(c)CO,1,"0,0,1,0"
Oc1ccccc1,1,"0,0,1,0"
Nc1ccccc1,1,"0,0,1,0"
NcccccO,1,"0,0,1,0"
Ccccc(c)N,1,"0,0,1,0"
cccccC=O,1,"0,0,1,0"
cccccCO,1,"0,0,1,0"
NccccC=O,1,"0,0,1,0"
NccccCO,1,"0,0,1,0"
ccccC(=O)O,1,"0,0,1,0"
ccc(N)ccO,1,"0,0,1,0"
Cc(cc)c(c)O,1,"0,0,1,0"
ccc(C=O)cc,1,"0,0,1,0"
ccc(CO)cc,1,"0,0,1,0"
ccc(C=O)cO,1,"0,0,1,0"
ccc(CO)cO,1,"0,0,1,0"
ccc(c)C(=O)O,1,"0,0,1,0"
Ccc(O)ccc,1,"0,0,1,0"
cc(N)cc(c)O,1,"0,0,1,0"
Cc(c)c(O)cc,1,"0,0,1,0"
cc(O)c(c)C=O,1,"0,0,1,0"
cc(O)c(c)CO,1,"0,0,1,0"
cc(cO)C(=O)O,1,"0,0,1,0"
ccc(O)ccN,1,"0,0,1,0"
Ccc(O)ccN,1,"0,0,1,0"
ccc(O)cC=O,1,"0,0,1,0"
ccc(O)cCO,1,"0,0,1,0"
cc(O)cC(=O)O,1,"0,0,1,0"
Cc1ccccc1O,1,"0,0,1,0"
Cc1ccc(N)cc1,1,"0,0,1,0"
O=Cc1ccccc1,1,"0,0,1,0"
OCc1ccccc1,1,"0,0,1,0"
Cc(cO)cccN,1,"0,0,1,0"
cccc(C=O)cO,1,"0,0,1,0"
cccc(CO)cO,1,"0,0,1,0"
cc(C=O)cccN,1,"0,0,1,0"
cc(CO)cccN,1,"0,0,1,0"
cccc(c)C(=O)O,1,"0,0,1,0"
Nc1cccc(O)c1,1,"0,0,1,0"
cc(N)cccC=O,1,"0,0,1,0"
cc(N)cccCO,1,"0,0,1,0"
cccccC(=O)O,1,"0,0,1,0"
NccccC(=O)O,1,"0,0,1,0"
ccc(C=O)c(c)O,1,"0,0,1,0"
ccc(CO)c(c)O,1,"0,0,1,0"
ccc(cc)C(=O)O,1,"0,0,1,0"
ccc(cO)C(=O)O,1,"0,0,1,0"
Ccc(O)cc(c)N,1,"0,0,1,0"
cccc(O)cC=O,1,"0,0,1,0"
cccc(O)cCO,1,"0,0,1,0"
Cc(c)c(O)ccN,1,"0,0,1,0"
ccc(O)c(c)C=O,1,"0,0,1,0"
ccc(O)c(c)CO,1,"0,0,1,0"
cc(O)c(c)C(=O)O,1,"0,0,1,0"
Nccc(O)cC=O,1,"0,0,1,0"
Nccc(O)cCO,1,"0,0,1,0"
ccc(O)cC(=O)O,1,"0,0,1,0"
Cc1ccc(N)cc1O,1,"0,0,1,0"
O=Cc1ccccc1O,1,"0,0,1,0"
OCc1ccccc1O,1,"0,0,1,0"
Nc1ccc(C=O)cc1,1,"0,0,1,0"
Nc1ccc(CO)cc1,1,"0,0,1,0"
O=C(O)c1ccccc1,1,"0,0,1,0"
Ncccc(C=O)cO,1,"0,0,1,0"
Ncccc(CO)cO,1,"0,0,1,0"
cccc(cO)C(=O)O,1,"0,0,1,0"
cc(cccN)C(=O)O,1,"0,0,1,0"
cc(N)cccC(=O)O,1,"0,0,1,0"
ccc(C(=O)O)c(c)O,1,"0,0,1,0"
cc(N)cc(O)cC=O,1,"0,0,1,0"
cc(N)cc(O)cCO,1,"0,0,1,0"
cccc(O)cC(=O)O,1,"0,0,1,0"
cc(C=O)c(O)ccN,1,"0,0,1,0"
cc(CO)c(O)ccN,1,"0,0,1,0"
ccc(O)c(c)C(=O)O,1,"0,0,1,0"
Nccc(O)cC(=O)O,1,"0,0,1,0"
Nc1ccc(C=O)c(O)c1,1,"0,0,1,0"
Nc1ccc(CO)c(O)c1,1,"0,0,1,0"
O=C(O)c1ccccc1O,1,"0,0,1,0"
Nc1ccc(C(=O)O)cc1,1,"0,0,1,0"
Ncccc(cO)C(=O)O,1,"0,0,1,0"
cc(N)cc(O)cC(=O)O,1,"0,0,1,0"
cc(C(=O)O)c(O)ccN,1,"0,0,1,0"
Nc1ccc(C(=O)O)c(O)c1,1,"0,0,1,0"
ccC,1,"0,0,0,1"
cCC,1,"0,0,0,1"
cccC,1,"0,0,0,1"
cc(c)C,1,"0,0,0,1"
ccCC,1,"0,0,0,1"
cCCC,1,"0,0,0,1"
ccccC,1,"0,0,0,1"
ccc(c)C,1,"0,0,0,1"
cccCC,1,"0,0,0,1"
cc(c)CC,1,"0,0,0,1"
CCCcc,1,"0,0,0,1"
cCCC=O,1,"0,0,0,1"
cCCCO,1,"0,0,0,1"
cccccC,1,"0,0,0,1"
cccc(c)C,1,"0,0,0,1"
ccccCC,1,"0,0,0,1"
ccc(C)cc,1,"0,0,0,1"
ccc(c)CC,1,"0,0,0,1"
CCCccc,1,"0,0,0,1"
CCCc(c)c,1,"0,0,0,1"
ccCCC=O,1,"0,0,0,1"
ccCCCO,1,"0,0,0,1"
cCCC(=O)O,1,"0,0,0,1"
cccccCC,1,"0,0,0,1"
cccc(c)CC,1,"0,0,0,1"
CCCcccc,1,"0,0,0,1"
ccc(cc)CC,1,"0,0,0,1"
CCCc(c)cc,1,"0,0,0,1"
cccCCC=O,1,"0,0,0,1"
cccCCCO,1,"0,0,0,1"
cc(c)CCC=O,1,"0,0,0,1"
cc(c)CCCO,1,"0,0,0,1"
ccCCC(=O)O,1,"0,0,0,1"
CCc1ccccc1,1,"0,0,0,1"
CCCccccc,1,"0,0,0,1"
CCCc(c)ccc,1,"0,0,0,1"
ccccCCC=O,1,"0,0,0,1"
ccccCCCO,1,"0,0,0,1"
CCCc(cc)cc,1,"0,0,0,1"
ccc(c)CCC=O,1,"0,0,0,1"
ccc(c)CCCO,1,"0,0,0,1"
cccCCC(=O)O,1,"0,0,0,1"
cc(c)CCC(=O)O,1,"0,0,0,1"
CCCc1ccccc1,1,"0,0,0,1"
cccccCCC=O,1,"0,0,0,1"
cccccCCCO,1,"0,0,0,1"
cccc(c)CCC=O,1,"0,0,0,1"
cccc(c)CCCO,1,"0,0,0,1"
ccccCCC(=O)O,1,"0,0,0,1"
ccc(cc)CCC=O,1,"0,0,0,1"
ccc(cc)CCCO,1,"0,0,0,1"
ccc(c)CCC(=O)O,1,"0,0,0,1"
O=CCCc1ccccc1,1,"0,0,0,1"
OCCCc1ccccc1,1,"0,0,0,1"
cccccCCC(=O)O,1,"0,0,0,1"
cccc(c)CCC(=O)O,1,"0,0,0,1"
ccc(cc)CCC(=O)O,1,"0,0,0,1"
O=C(O)CCc1ccccc1,1,"0,0,0,1"
