Substructure,Frequency0,OccurrenceList0
N,2,"1,0,1,0,0"
C,4,"1,1,0,1,1"
NN,1,"1,0,0,0,0"
C=N,1,"1,0,0,0,0"
CN,1,"1,0,0,0,0"
C=NN,1,"1,0,0,0,0"
N=CN,1,"1,0,0,0,0"
CNN,1,"1,0,0,0,0"
NC=NN,1,"1,0,0,0,0"
N=CNN,1,"1,0,0,0,0"
NN=CNN,1,"1,0,0,0,0"
O=CO,3,"0,1,1,1,0"
CC,3,"0,1,0,1,1"
COC=O,1,"0,1,0,0,0"
CC(=O)O,2,"0,1,0,1,0"
CCOC=O,1,"0,1,0,0,0"
COC(C)=O,1,"0,1,0,0,0"
CCC(=O)O,2,"0,1,0,1,0"
CCOC(C)=O,1,"0,1,0,0,0"
CCC(=O)OC,1,"0,1,0,0,0"
O=C(O)CCC(=O)O,1,"0,1,0,0,0"
CCOC(=O)CC,1,"0,1,0,0,0"
COC(=O)CCC(=O)O,1,"0,1,0,0,0"
CCOC(=O)CCC(=O)O,1,"0,1,0,0,0"
COC(=O)CCC(=O)OC,1,"0,1,0,0,0"
CCOC(=O)CCC(=O)OC,1,"0,1,0,0,0"
CCOC(=O)CCC(=O)OCC,1,"0,1,0,0,0"
c,2,"0,0,1,1,0"
cN,1,"0,0,1,0,0"
cc,2,"0,0,1,1,0"
cC(=O)O,1,"0,0,1,0,0"
ccN,1,"0,0,1,0,0"
ccc,2,"0,0,1,1,0"
ccC(=O)O,1,"0,0,1,0,0"
cc(c)N,1,"0,0,1,0,0"
cccN,1,"0,0,1,0,0"
cccc,2,"0,0,1,1,0"
cccC(=O)O,1,"0,0,1,0,0"
cc(c)C(=O)O,1,"0,0,1,0,0"
ccc(c)N,1,"0,0,1,0,0"
ccccN,1,"0,0,1,0,0"
ccccc,2,"0,0,1,1,0"
ccccC(=O)O,1,"0,0,1,0,0"
ccc(c)C(=O)O,1,"0,0,1,0,0"
cccc(c)N,1,"0,0,1,0,0"
ccc(N)cc,1,"0,0,1,0,0"
NccccC(=O)O,1,"0,0,1,0,0"
cccccN,1,"0,0,1,0,0"
cccccC(=O)O,1,"0,0,1,0,0"
c1ccccc1,2,"0,0,1,1,0"
cccc(c)C(=O)O,1,"0,0,1,0,0"
ccc(cc)C(=O)O,1,"0,0,1,0,0"
cc(N)cccC(=O)O,1,"0,0,1,0,0"
Nc1ccccc1,1,"0,0,1,0,0"
cc(cccN)C(=O)O,1,"0,0,1,0,0"
O=C(O)c1ccccc1,1,"0,0,1,0,0"
Nc1ccc(C(=O)O)cc1,1,"0,0,1,0,0"
cC,1,"0,0,0,1,0"
cCC,1,"0,0,0,1,0"
ccC,1,"0,0,0,1,0"
cCCC(=O)O,1,"0,0,0,1,0"
ccCC,1,"0,0,0,1,0"
cc(c)C,1,"0,0,0,1,0"
cccC,1,"0,0,0,1,0"
ccCCC(=O)O,1,"0,0,0,1,0"
cc(c)CC,1,"0,0,0,1,0"
cccCC,1,"0,0,0,1,0"
ccc(c)C,1,"0,0,0,1,0"
ccccC,1,"0,0,0,1,0"
cc(c)CCC(=O)O,1,"0,0,0,1,0"
cccCCC(=O)O,1,"0,0,0,1,0"
ccc(c)CC,1,"0,0,0,1,0"
ccccCC,1,"0,0,0,1,0"
cccc(c)C,1,"0,0,0,1,0"
ccc(C)cc,1,"0,0,0,1,0"
cccccC,1,"0,0,0,1,0"
ccc(c)CCC(=O)O,1,"0,0,0,1,0"
ccccCCC(=O)O,1,"0,0,0,1,0"
cccc(c)CC,1,"0,0,0,1,0"
ccc(cc)CC,1,"0,0,0,1,0"
cccccCC,1,"0,0,0,1,0"
Cc1ccccc1,1,"0,0,0,1,0"
cccc(c)CCC(=O)O,1,"0,0,0,1,0"
ccc(cc)CCC(=O)O,1,"0,0,0,1,0"
cccccCCC(=O)O,1,"0,0,0,1,0"
CCc1ccccc1,1,"0,0,0,1,0"
O=C(O)CCc1ccccc1,1,"0,0,0,1,0"
C.C,1,"0,0,0,0,1"
CCC,1,"0,0,0,0,1"
C.CC,1,"0,0,0,0,1"
CCCC,1,"0,0,0,0,1"
CC.CC,1,"0,0,0,0,1"
C.CCC,1,"0,0,0,0,1"
CCCCC,1,"0,0,0,0,1"
CC.CCC,1,"0,0,0,0,1"
C.CCCC,1,"0,0,0,0,1"
CCCCCC,1,"0,0,0,0,1"
C.CCCCC,1,"0,0,0,0,1"
CC.CCCC,1,"0,0,0,0,1"
CCC.CCC,1,"0,0,0,0,1"
C.CCCCCC,1,"0,0,0,0,1"
CC.CCCCC,1,"0,0,0,0,1"
CCC.CCCC,1,"0,0,0,0,1"
CC.CCCCCC,1,"0,0,0,0,1"
CCC.CCCCC,1,"0,0,0,0,1"
CCCC.CCCC,1,"0,0,0,0,1"
CCC.CCCCCC,1,"0,0,0,0,1"
CCCC.CCCCC,1,"0,0,0,0,1"
CCCC.CCCCCC,1,"0,0,0,0,1"
CCCCC.CCCCC,1,"0,0,0,0,1"
CCCCC.CCCCCC,1,"0,0,0,0,1"
CCCCCC.CCCCCC,1,"0,0,0,0,1"
