Substructure,Frequency1
C,4
S,4
NC=O,4
N,3
c,3
cO,1
O=CO,3
CC,4
CS,4
CNC=O,4
C.C,3
CC(N)=O,4
CN,3
cC,3
cc,3
ccO,1
CC(=O)O,3
CCC,4
CCS,3
CSC,3
CCC(=O)O,2
C.CC,3
CCNC=O,4
O=CNCS,3
C.CS,3
O=C1CCN1,3
CN(C)C=O,3
C.CC(=O)O,3
CNC(C)=O,4
NC(=O)CNC=O,3
NCC(N)=O,3
cCC(N)=O,3
cCN,2
ccC,3
ccc,3
cccO,1
cc(c)O,1
O=CNCC(=O)O,3
CC(C)S,2
CC(C)C,3
CCSC,3
CCCC(=O)O,2
C.CCC,2
CCCNC=O,3
O=C(O)CCS,2
O=CNCCS,3
CSCNC=O,3
C.CCC(=O)O,2
CC(NC=O)C(=O)O,2
CC.CC,2
CCN(C)C=O,2
CCNC(C)=O,4
O=C1CC(S)N1,3
C.CCS,3
CN(C=O)CS,3
CS.CC(=O)O,2
CN1CCC1=O,3
O=CNC1CNC1=O,3
CC.CC(=O)O,2
C.CCNC=O,3
CN(C=O)CC(=O)O,2
CC(=O)NCC(=O)O,3
CNC(=O)CNC=O,3
CC(=O)NCC(N)=O,3
CNC(=O)CN,3
cCC(=O)NC,3
cC(N)C(N)=O,2
ccCC(N)=O,3
ccCN,2
cc(c)C,3
cccC,3
cccc,3
ccccO,1
ccc(c)O,1
CC(C)(C)S,2
CSC(C)C,2
CC(C)CC(=O)O,2
C.CC(C)C,2
CC(C)CNC=O,2
CC(S)CC(=O)O,2
CC(S)CNC=O,2
CCSCC,3
CCSCNC=O,3
C.CCCC(=O)O,2
CCC(NC=O)C(=O)O,2
CC.CCC,2
CCCN(C)C=O,2
CCCNC(C)=O,3
O=CN1CCSC1,2
CSCCC(=O)O,2
O=CNC(CS)C(=O)O,2
CC(=O)NCCS,3
CSC1CC(=O)N1,3
CSCCNC=O,3
CC.CCC(=O)O,2
CC(C(=O)O)N(C)C=O,2
CC(=O)NC(C)C(=O)O,2
CCN1CCC1=O,2
CC.CCNC=O,2
CCNC(=O)CNC=O,2
CN1C(=O)CC1S,3
O=CNC1C(=O)NC1S,3
CCS.CC(=O)O,2
C.O=CNCCS,3
O=CN(CS)CC(=O)O,2
O=C(O)CN1CCC1=O,3
CN1CC(NC=O)C1=O,3
CC(=O)NC1CNC1=O,3
CCNC=O.CC(=O)O,2
C.CCNC(C)=O,3
CCNC(=O)CN,3
cCC(=O)NCC,3
O=CNCC(=O)NCC(=O)O,3
CNC(=O)CNC(C)=O,3
NCC(=O)NCC(N)=O,2
cCC(=O)NCC(N)=O,3
cC(N)C(=O)NC,2
ccCC(=O)NC,3
ccC(N)C(N)=O,2
cc(c)CC(N)=O,3
cccCC(N)=O,3
cc(c)CN,2
cccCN,2
ccc(c)C,3
CccccO,1
cccccO,1
ccccc,3
cccc(c)O,1
ccc(O)cc,1
CSC(C)(C)C,2
CC(C)(S)CC(=O)O,2
CC(C)(S)CNC=O,2
CCSC(C)C,2
CC(C)SCNC=O,2
C.CC(C)CC(=O)O,2
CC(C)C(NC=O)C(=O)O,2
CC.CC(C)C,2
CC(C)CN(C)C=O,2
CC(=O)NCC(C)C,2
CC1CN(C=O)CS1,2
CSC(C)CC(=O)O,2
CC(S)C(NC=O)C(=O)O,2
CC(=O)NCC(C)S,2
CCSC1CC(=O)N1,3
CCSCCNC=O,3
CC.CCCC(=O)O,2
CCC(C(=O)O)N(C)C=O,2
CCC(NC(C)=O)C(=O)O,2
CCCN1CCC1=O,2
CCC.CCNC=O,2
CCCNC(=O)CNC=O,2
O=C1CC2SCCN12,2
CCSCCC(=O)O,2
O=CN1CSCC1C(=O)O,2
CC(=O)NC(CS)C(=O)O,2
O=CNCC(=O)NCCS,2
CSC1NC(=O)C1NC=O,3
CSCCNC(C)=O,3
CC(C(=O)O)N1CCC1=O,2
CCNC=O.CCC(=O)O,2
CC(NC(=O)CNC=O)C(=O)O,2
CCN1CC(NC=O)C1=O,2
CC.CCNC(C)=O,2
CCNC(=O)CNC(C)=O,2
CN1C(=O)C(NC=O)C1S,3
O=C(O)CN1C(=O)CC1S,3
CC(=O)NC1C(=O)NC1S,3
CC(=O)O.O=CNCCS,3
C.CC(=O)NCCS,3
NCC(=O)NCCS,2
cCC(=O)NCCS,3
O=CNC1CN(CC(=O)O)C1=O,3
CC(=O)NC1CN(C)C1=O,2
NCC(=O)NC1CNC1=O,2
cCC(=O)NC1CNC1=O,3
CCNC(C)=O.CC(=O)O,2
C.CCNC(=O)CN,2
C.cCC(=O)NCC,3
cC(N)C(=O)NCC,2
ccCC(=O)NCC,3
CC(=O)NCC(=O)NCC(=O)O,3
CNC(=O)CNC(=O)CN,2
cCC(=O)NCC(=O)NC,3
cC(N)C(=O)NCC(N)=O,2
ccCC(=O)NCC(N)=O,3
ccC(N)C(=O)NC,2
cc(c)CC(=O)NC,3
cccCC(=O)NC,3
cc(c)C(N)C(N)=O,2
cccC(N)C(N)=O,2
ccc(c)CC(N)=O,3
NC(=O)CccccO,1
ccc(c)CN,2
NCccccO,1
cc(C)cccO,1
ccc(C)cc,3
cc(O)cccC,1
Oc1ccccc1,1
CCSC(C)(C)C,2
CC1(C)CN(C=O)CS1,2
CSC(C)(C)CC(=O)O,2
