Substructure,Frequency0,OccurrenceList0
N,2,"1,0,1,0,0"
[N:1],1,"1,0,0,0,0"
[C:2][OH:3],1,"1,0,0,0,0"
[NH:4],1,"1,0,0,0,0"
[NH2:5],1,"1,0,0,0,0"
N[N:1],1,"1,0,0,0,0"
[N:1]=[C:2][OH:3],1,"1,0,0,0,0"
[C:2]([OH:3])[NH:4],1,"1,0,0,0,0"
[NH:4][NH2:5],1,"1,0,0,0,0"
N[N:1]=[C:2][OH:3],1,"1,0,0,0,0"
[N:1]=[C:2]([OH:3])[NH:4],1,"1,0,0,0,0"
[C:2]([OH:3])[NH:4][NH2:5],1,"1,0,0,0,0"
N[N:1]=[C:2]([OH:3])[NH:4],1,"1,0,0,0,0"
[N:1]=[C:2]([OH:3])[NH:4][NH2:5],1,"1,0,0,0,0"
N[N:1]=[C:2]([OH:3])[NH:4][NH2:5],1,"1,0,0,0,0"
C,1,"0,1,0,0,0"
[CH2:1],1,"0,1,0,0,0"
[O:2][C:3]=[O:4],1,"0,1,0,0,0"
[CH2:5],1,"0,1,0,0,0"
[CH2:6],1,"0,1,0,0,0"
[C:7](=[O:8])[O:9],1,"0,1,0,0,0"
[CH2:10],1,"0,1,0,0,0"
[CH3:11],1,"0,1,0,0,0"
C[CH2:1],1,"0,1,0,0,0"
[CH2:1][O:2][C:3]=[O:4],1,"0,1,0,0,0"
[O:2][C:3](=[O:4])[CH2:5],1,"0,1,0,0,0"
[CH2:5][CH2:6],1,"0,1,0,0,0"
[CH2:6][C:7](=[O:8])[O:9],1,"0,1,0,0,0"
[C:7](=[O:8])[O:9][CH2:10],1,"0,1,0,0,0"
[CH2:10][CH3:11],1,"0,1,0,0,0"
C[CH2:1][O:2][C:3]=[O:4],1,"0,1,0,0,0"
[CH2:1][O:2][C:3](=[O:4])[CH2:5],1,"0,1,0,0,0"
[O:2][C:3](=[O:4])[CH2:5][CH2:6],1,"0,1,0,0,0"
[CH2:5][CH2:6][C:7](=[O:8])[O:9],1,"0,1,0,0,0"
[CH2:6][C:7](=[O:8])[O:9][CH2:10],1,"0,1,0,0,0"
[C:7](=[O:8])[O:9][CH2:10][CH3:11],1,"0,1,0,0,0"
C[CH2:1][O:2][C:3](=[O:4])[CH2:5],1,"0,1,0,0,0"
[CH2:1][O:2][C:3](=[O:4])[CH2:5][CH2:6],1,"0,1,0,0,0"
[O:2][C:3](=[O:4])[CH2:5][CH2:6][C:7](=[O:8])[O:9],1,"0,1,0,0,0"
[CH2:5][CH2:6][C:7](=[O:8])[O:9][CH2:10],1,"0,1,0,0,0"
[CH2:6][C:7](=[O:8])[O:9][CH2:10][CH3:11],1,"0,1,0,0,0"
C[CH2:1][O:2][C:3](=[O:4])[CH2:5][CH2:6],1,"0,1,0,0,0"
[CH2:1][O:2][C:3](=[O:4])[CH2:5][CH2:6][C:7](=[O:8])[O:9],1,"0,1,0,0,0"
[O:2][C:3](=[O:4])[CH2:5][CH2:6][C:7](=[O:8])[O:9][CH2:10],1,"0,1,0,0,0"
[CH2:5][CH2:6][C:7](=[O:8])[O:9][CH2:10][CH3:11],1,"0,1,0,0,0"
C[CH2:1][O:2][C:3](=[O:4])[CH2:5][CH2:6][C:7](=[O:8])[O:9],1,"0,1,0,0,0"
[CH2:1][O:2][C:3](=[O:4])[CH2:5][CH2:6][C:7](=[O:8])[O:9][CH2:10],1,"0,1,0,0,0"
[O:2][C:3](=[O:4])[CH2:5][CH2:6][C:7](=[O:8])[O:9][CH2:10][CH3:11],1,"0,1,0,0,0"
C[CH2:1][O:2][C:3](=[O:4])[CH2:5][CH2:6][C:7](=[O:8])[O:9][CH2:10],1,"0,1,0,0,0"
[CH2:1][O:2][C:3](=[O:4])[CH2:5][CH2:6][C:7](=[O:8])[O:9][CH2:10][CH3:11],1,"0,1,0,0,0"
C[CH2:1][O:2][C:3](=[O:4])[CH2:5][CH2:6][C:7](=[O:8])[O:9][CH2:10][CH3:11],1,"0,1,0,0,0"
[c:1],1,"0,0,1,0,0"
[cH:2],1,"0,0,1,0,0"
[c:3][OH:4],1,"0,0,1,0,0"
[c:5],2,"0,0,1,1,0"
[C:6](=[O:7])[OH:8],1,"0,0,1,0,0"
[cH:9],2,"0,0,1,1,0"
[cH:10],2,"0,0,1,1,0"
N[c:1],1,"0,0,1,0,0"
[c:1][cH:2],1,"0,0,1,0,0"
[c:1][cH:10],1,"0,0,1,0,0"
[cH:2][c:3][OH:4],1,"0,0,1,0,0"
[c:3]([OH:4])[c:5],1,"0,0,1,0,0"
[c:5][C:6](=[O:7])[OH:8],1,"0,0,1,0,0"
[c:5][cH:9],1,"0,0,1,0,0"
[cH:9][cH:10],2,"0,0,1,1,0"
N[c:1][cH:2],1,"0,0,1,0,0"
N[c:1][cH:10],1,"0,0,1,0,0"
[c:1]([cH:2])[cH:10],1,"0,0,1,0,0"
[c:1][cH:2][c:3][OH:4],1,"0,0,1,0,0"
[c:1][cH:10][cH:9],1,"0,0,1,0,0"
[cH:2][c:3]([OH:4])[c:5],1,"0,0,1,0,0"
[c:3]([OH:4])[c:5][C:6](=[O:7])[OH:8],1,"0,0,1,0,0"
[c:3]([OH:4])[c:5][cH:9],1,"0,0,1,0,0"
[c:5]([C:6](=[O:7])[OH:8])[cH:9],1,"0,0,1,0,0"
[c:5][cH:9][cH:10],1,"0,0,1,0,0"
N[c:1]([cH:2])[cH:10],1,"0,0,1,0,0"
N[c:1][cH:2][c:3][OH:4],1,"0,0,1,0,0"
N[c:1][cH:10][cH:9],1,"0,0,1,0,0"
[c:1]([cH:2][c:3][OH:4])[cH:10],1,"0,0,1,0,0"
[c:1]([cH:2])[cH:10][cH:9],1,"0,0,1,0,0"
[c:1][cH:2][c:3]([OH:4])[c:5],1,"0,0,1,0,0"
[c:1][cH:10][cH:9][c:5],1,"0,0,1,0,0"
[cH:2][c:3]([OH:4])[c:5][C:6](=[O:7])[OH:8],1,"0,0,1,0,0"
[cH:2][c:3]([OH:4])[c:5][cH:9],1,"0,0,1,0,0"
[c:3]([OH:4])[c:5]([C:6](=[O:7])[OH:8])[cH:9],1,"0,0,1,0,0"
[c:3]([OH:4])[c:5][cH:9][cH:10],1,"0,0,1,0,0"
[c:5]([C:6](=[O:7])[OH:8])[cH:9][cH:10],1,"0,0,1,0,0"
N[c:1]([cH:2][c:3][OH:4])[cH:10],1,"0,0,1,0,0"
N[c:1]([cH:2])[cH:10][cH:9],1,"0,0,1,0,0"
N[c:1][cH:2][c:3]([OH:4])[c:5],1,"0,0,1,0,0"
N[c:1][cH:10][cH:9][c:5],1,"0,0,1,0,0"
[c:1]([cH:2][c:3]([OH:4])[c:5])[cH:10],1,"0,0,1,0,0"
[c:1]([cH:2][c:3][OH:4])[cH:10][cH:9],1,"0,0,1,0,0"
[c:1]([cH:2])[cH:10][cH:9][c:5],1,"0,0,1,0,0"
[c:1][cH:2][c:3]([OH:4])[c:5][C:6](=[O:7])[OH:8],1,"0,0,1,0,0"
[c:1][cH:2][c:3]([OH:4])[c:5][cH:9],1,"0,0,1,0,0"
[c:1][cH:10][cH:9][c:5][c:3][OH:4],1,"0,0,1,0,0"
[c:1][cH:10][cH:9][c:5][C:6](=[O:7])[OH:8],1,"0,0,1,0,0"
[cH:2][c:3]([OH:4])[c:5]([C:6](=[O:7])[OH:8])[cH:9],1,"0,0,1,0,0"
[cH:2][c:3]([OH:4])[c:5][cH:9][cH:10],1,"0,0,1,0,0"
[c:3]([OH:4])[c:5]([C:6](=[O:7])[OH:8])[cH:9][cH:10],1,"0,0,1,0,0"
N[c:1]([cH:2][c:3]([OH:4])[c:5])[cH:10],1,"0,0,1,0,0"
N[c:1]([cH:2][c:3][OH:4])[cH:10][cH:9],1,"0,0,1,0,0"
N[c:1]([cH:2])[cH:10][cH:9][c:5],1,"0,0,1,0,0"
N[c:1][cH:2][c:3]([OH:4])[c:5][C:6](=[O:7])[OH:8],1,"0,0,1,0,0"
N[c:1][cH:2][c:3]([OH:4])[c:5][cH:9],1,"0,0,1,0,0"
N[c:1][cH:10][cH:9][c:5][c:3][OH:4],1,"0,0,1,0,0"
N[c:1][cH:10][cH:9][c:5][C:6](=[O:7])[OH:8],1,"0,0,1,0,0"
[c:1]([cH:2][c:3]([OH:4])[c:5][C:6](=[O:7])[OH:8])[cH:10],1,"0,0,1,0,0"
[c:1]1[cH:2][c:3]([OH:4])[c:5][cH:9][cH:10]1,1,"0,0,1,0,0"
[c:1]([cH:2])[cH:10][cH:9][c:5][C:6](=[O:7])[OH:8],1,"0,0,1,0,0"
[c:1][cH:2][c:3]([OH:4])[c:5]([C:6](=[O:7])[OH:8])[cH:9],1,"0,0,1,0,0"
[c:1][cH:10][cH:9][c:5]([c:3][OH:4])[C:6](=[O:7])[OH:8],1,"0,0,1,0,0"
[cH:2][c:3]([OH:4])[c:5]([C:6](=[O:7])[OH:8])[cH:9][cH:10],1,"0,0,1,0,0"
N[c:1]([cH:2][c:3]([OH:4])[c:5][C:6](=[O:7])[OH:8])[cH:10],1,"0,0,1,0,0"
N[c:1]1[cH:2][c:3]([OH:4])[c:5][cH:9][cH:10]1,1,"0,0,1,0,0"
N[c:1]([cH:2])[cH:10][cH:9][c:5][C:6](=[O:7])[OH:8],1,"0,0,1,0,0"
N[c:1][cH:2][c:3]([OH:4])[c:5]([C:6](=[O:7])[OH:8])[cH:9],1,"0,0,1,0,0"
N[c:1][cH:10][cH:9][c:5]([c:3][OH:4])[C:6](=[O:7])[OH:8],1,"0,0,1,0,0"
[c:1]1[cH:2][c:3]([OH:4])[c:5]([C:6](=[O:7])[OH:8])[cH:9][cH:10]1,1,"0,0,1,0,0"
N[c:1]1[cH:2][c:3]([OH:4])[c:5]([C:6](=[O:7])[OH:8])[cH:9][cH:10]1,1,"0,0,1,0,0"
O=[C:1][OH:2],1,"0,0,0,1,0"
[CH2:3],1,"0,0,0,1,0"
[CH2:4],1,"0,0,0,1,0"
[cH:6],1,"0,0,0,1,0"
[cH:7],1,"0,0,0,1,0"
[cH:8],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3],1,"0,0,0,1,0"
[CH2:3][CH2:4],1,"0,0,0,1,0"
[CH2:4][c:5],1,"0,0,0,1,0"
[c:5][cH:6],1,"0,0,0,1,0"
[c:5][cH:10],1,"0,0,0,1,0"
[cH:6][cH:7],1,"0,0,0,1,0"
[cH:7][cH:8],1,"0,0,0,1,0"
[cH:8][cH:9],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5],1,"0,0,0,1,0"
[CH2:4][c:5][cH:6],1,"0,0,0,1,0"
[CH2:4][c:5][cH:10],1,"0,0,0,1,0"
[c:5]([cH:6])[cH:10],1,"0,0,0,1,0"
[c:5][cH:6][cH:7],1,"0,0,0,1,0"
[c:5][cH:10][cH:9],1,"0,0,0,1,0"
[cH:6][cH:7][cH:8],1,"0,0,0,1,0"
[cH:7][cH:8][cH:9],1,"0,0,0,1,0"
[cH:8][cH:9][cH:10],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5][cH:6],1,"0,0,0,1,0"
