smiles,group
CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccccc2)NC(=O)C(CCN)NC1=O)C(C)O,antibacterial
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(ccc(N)c4O)CC3CC12,antibacterial
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O.CN(C)C1C(=O)C(C(=O)NCN2CCN(CCO)CC2)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,antibacterial
Cc1nc(NNC(=O)C(CC2CCCC2)CN(O)C=O)c(F)c(N2CCN3CCOCC3C2)n1,antibacterial
Cn1nnc(-c2ccc(-c3ccc(N4CC(COP(=O)([O-])[O-])OC4=O)cc3F)cn2)n1.[Na+].[Na+],antibacterial
NC(=O)NC=C1NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)CC([NH3+])CCC[NH3+])CNC(=O)C(C2CC(O)[NH+]=C(N)N2)NC1=O,antibacterial
CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CSC12)c1ccco1.[Na+],antibacterial
CC1OC(CC(=O)O)Cc2c1c(O)c1c(O)c(-c3cc(=O)c4c(=O)c5c(c(=O)c=4c3=O)C(C)OC(CC(=O)O)C5)cc(O)c1c2O,antibacterial
NC(=O)OCC(O)C(O)C(N)C(=O)NC(C(=O)[O-])C1OC(n2cc(C(=O)[O-])c(=O)[nH]c2=O)C(O)C1O.[Zn+2],antibacterial
O=C(C=CC=CC=CC1CCCCC1)NC1=CC(O)(C=CC=CC=CC(=O)NC2=C(O)CCC2=O)C2OC2C1=O,antibacterial
Cc1c(C(=O)NCCO)[n+]([O-])c2ccccc2[n+]1[O-],antibacterial
CC1(C)SC2C(NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2C1C(=O)[O-].[Na+].[Na+],antibacterial
CCC1OC(=O)C(C)C(OC2CC(C)(O)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC2CC(N(C)C)C(O)C(C)O2)CC(C)C(=O)C(C)C(O)C1(C)O,antibacterial
CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,antibacterial
CCC1OC(=O)CC(OC(C)=O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(OC(=O)CC(C)C)C(C)O3)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1OC,antibacterial
CCCCCCCC(CC=CCCC(=O)N(C)CC(=CCl)CC(=O)CC(=O)NCC(O)CC(=O)OC)OC,antibacterial
CC(C)CCCC(C)C1CCC2C3C(N)C=C4CC(O)CCC4(C)C3CCC12C,antibacterial
CCCNCC1(O)C(C)OC(OC2C(C)C(=O)OC(C(C)(O)C(O)CC)C(C)NCC(C)CC(C)(O)C(OC3OC(C)CC(N(C)C)C3O)C2C)CC1(C)OC.CCCNCC1(O)C(C)OC(OC2C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)NCC(C)CC(C)(O)C(OC3OC(C)CC(N(C)C)C3O)C2C)CC1(C)OC,antibacterial
O=c1cc(C2Oc3cc(O)cc(O)c3CC2O)cc2c(C3Oc4cc(O)cc(O)c4CC3O)cc(O)c(O)c2c1O,antibacterial
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O.CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O.c1ccc(CNCCNCc2ccccc2)cc1,antibacterial
COc1ccc(C(=O)O)cc1O,antibacterial
COc1cc(OC)c2c(O)c3c(=O)cc(C)oc3c(-c3c(OC)cc4cc(O)c5c(=O)cc(C)oc5c4c3OC)c2c1,antibacterial
Cc1cc(O)cc2c1C(=O)C1=C(C2=O)C(C)(C)c2cc(O)cc(O)c2C1=O,antibacterial
Cn1c(N)c(NC(=O)NCCN)c[n+]1CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOC(C)(C)C(=O)O)c3nsc(N)n3)C2SC1.O=S(=O)([O-])O,antibacterial
CC1=CCC(=C(C)C)CC2(O)C(=O)c3cc(cc(O)c3C(=O)C2(C)Cl)OC(C)(C)C(Cl)CC1,antibacterial
Nc1cc([As]=[As]c2ccc(O)c(N)c2)ccc1O,antibacterial
Nc1ncnc2c1ncn2C1OC(F)(COS(N)(=O)=O)C(O)C1O,antibacterial
O=[N+]([O-])c1ccc(O)c2ncccc12,antibacterial
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O.O.O.O.O,antibacterial
CC(O)C1C(=O)N2C(C(=O)O)=C(SCCN=CN)CC12,antibacterial
CCCCC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,antibacterial
CC(=O)OCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1(C)C,antibacterial
CC(=O)NCC1CN(c2ccc(-c3ccc(CNCc4cn[nH]n4)cc3)c(F)c2)C(=O)O1.Cl,antibacterial
CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O,antibacterial
COc1ccc(CCCc2ccc(O)c(OC)c2)c(O)c1,antibacterial
