,Substructure,Frequency0,Frequency1,Frequency2
0,N,1.0,1.0,3.0
1,CO,1.0,1.0,1.0
2,NN,1.0,0.0,0.0
3,N=CO,1.0,0.0,0.0
4,NCO,1.0,0.0,0.0
5,NN=CO,1.0,0.0,0.0
6,N=C(N)O,1.0,0.0,0.0
7,NNCO,1.0,0.0,0.0
8,NN=C(N)O,1.0,0.0,0.0
9,N=C(O)NN,1.0,0.0,0.0
10,NN=C(O)NN,1.0,0.0,0.0
11,C,1.0,1.0,4.0
12,O=CO,1.0,2.0,3.0
13,CC,1.0,1.0,4.0
14,COC=O,1.0,0.0,0.0
15,CC(=O)O,1.0,1.0,3.0
16,CCOC=O,1.0,0.0,0.0
17,COC(C)=O,1.0,0.0,0.0
18,CCC(=O)O,1.0,1.0,2.0
19,CCOC(C)=O,1.0,0.0,0.0
20,CCC(=O)OC,1.0,0.0,0.0
21,O=C(O)CCC(=O)O,1.0,0.0,0.0
22,CCOC(=O)CC,1.0,0.0,0.0
23,COC(=O)CCC(=O)O,1.0,0.0,0.0
24,CCOC(=O)CCC(=O)O,1.0,0.0,0.0
25,COC(=O)CCC(=O)OC,1.0,0.0,0.0
26,CCOC(=O)CCC(=O)OC,1.0,0.0,0.0
27,CCOC(=O)CCC(=O)OCC,1.0,0.0,0.0
28,c,0.0,2.0,3.0
29,cO,0.0,1.0,1.0
30,cN,0.0,1.0,0.0
31,cc,0.0,2.0,3.0
32,ccO,0.0,1.0,1.0
33,cC(=O)O,0.0,1.0,0.0
34,ccN,0.0,1.0,0.0
35,ccc,0.0,2.0,3.0
36,cccO,0.0,1.0,1.0
37,cc(c)O,0.0,1.0,1.0
38,O=C(O)ccO,0.0,1.0,0.0
39,ccC(=O)O,0.0,1.0,0.0
40,cc(c)N,0.0,1.0,0.0
41,NcccO,0.0,1.0,0.0
42,cccN,0.0,1.0,0.0
43,ccccO,0.0,1.0,1.0
44,cccc,0.0,2.0,3.0
45,ccc(c)O,0.0,1.0,1.0
46,cc(O)cC(=O)O,0.0,1.0,0.0
47,cc(cO)C(=O)O,0.0,1.0,0.0
48,cccC(=O)O,0.0,1.0,0.0
49,cc(N)ccO,0.0,1.0,0.0
50,ccc(c)N,0.0,1.0,0.0
51,cc(O)ccN,0.0,1.0,0.0
52,ccccN,0.0,1.0,0.0
53,cccc(c)O,0.0,1.0,1.0
54,cccccO,0.0,1.0,1.0
55,ccccc,0.0,2.0,3.0
56,ccc(O)cC(=O)O,0.0,1.0,0.0
57,ccc(O)cc,0.0,1.0,1.0
58,ccccC(=O)O,0.0,1.0,0.0
59,cc(O)c(c)C(=O)O,0.0,1.0,0.0
60,ccc(cO)C(=O)O,0.0,1.0,0.0
61,cc(N)cc(c)O,0.0,1.0,0.0
62,ccc(N)ccO,0.0,1.0,0.0
63,cccc(c)N,0.0,1.0,0.0
64,Nccc(O)cC(=O)O,0.0,1.0,0.0
65,ccc(O)ccN,0.0,1.0,0.0
66,NcccccO,0.0,1.0,0.0
67,NccccC(=O)O,0.0,1.0,0.0
68,cccc(O)cC(=O)O,0.0,1.0,0.0
69,Oc1ccccc1,0.0,1.0,1.0
70,cccccC(=O)O,0.0,1.0,0.0
71,ccc(O)c(c)C(=O)O,0.0,1.0,0.0
72,cccc(cO)C(=O)O,0.0,1.0,0.0
73,ccc(C(=O)O)c(c)O,0.0,1.0,0.0
74,cc(N)cc(O)cC(=O)O,0.0,1.0,0.0
75,Nc1cccc(O)c1,0.0,1.0,0.0
76,cc(N)cccC(=O)O,0.0,1.0,0.0
77,cc(C(=O)O)c(O)ccN,0.0,1.0,0.0
78,Ncccc(cO)C(=O)O,0.0,1.0,0.0
79,O=C(O)c1ccccc1O,0.0,1.0,0.0
80,Nc1ccc(C(=O)O)c(O)c1,0.0,1.0,0.0
81,cC,0.0,1.0,3.0
82,cCC,0.0,1.0,0.0
83,ccC,0.0,1.0,3.0
84,cCCC(=O)O,0.0,1.0,0.0
85,ccCC,0.0,1.0,0.0
86,cc(c)C,0.0,1.0,3.0
87,cccC,0.0,1.0,3.0
88,ccCCC(=O)O,0.0,1.0,0.0
89,cc(c)CC,0.0,1.0,0.0
90,cccCC,0.0,1.0,0.0
91,ccc(c)C,0.0,1.0,3.0
92,ccccC,0.0,1.0,2.0
93,cc(c)CCC(=O)O,0.0,1.0,0.0
94,cccCCC(=O)O,0.0,1.0,0.0
95,ccc(c)CC,0.0,1.0,0.0
96,ccccCC,0.0,1.0,0.0
97,ccc(C)cc,0.0,1.0,3.0
98,cccc(c)C,0.0,1.0,2.0
99,cccccC,0.0,1.0,2.0
100,c1ccccc1,0.0,1.0,2.0
101,ccc(c)CCC(=O)O,0.0,1.0,0.0
102,ccccCCC(=O)O,0.0,1.0,0.0
103,cccc(c)CC,0.0,1.0,0.0
104,ccc(cc)CC,0.0,1.0,0.0
105,cccccCC,0.0,1.0,0.0
106,Cc1ccccc1,0.0,1.0,2.0
107,cccc(c)CCC(=O)O,0.0,1.0,0.0
108,ccc(cc)CCC(=O)O,0.0,1.0,0.0
109,cccccCCC(=O)O,0.0,1.0,0.0
110,CCc1ccccc1,0.0,1.0,0.0
111,O=C(O)CCc1ccccc1,0.0,1.0,0.0
112,OCCO,0.0,1.0,1.0
113,COCO,0.0,1.0,0.0
114,COC,0.0,1.0,1.0
115,OCC(O)CO,0.0,1.0,1.0
