,Substructure,Frequencyantibacterial,Frequencynot-antibacterial
0,N,2.0,0.0
1,c,3.0,2.0
2,n,2.0,0.0
3,C,4.0,2.0
4,[N+],1.0,0.0
5,O,1.0,0.0
6,[O-],1.0,0.0
7,o,2.0,1.0
8,cN,2.0,0.0
9,cn,2.0,0.0
10,cc,3.0,2.0
11,cC,2.0,1.0
12,C=C,2.0,1.0
13,Cc,2.0,1.0
14,co,2.0,1.0
15,c[N+],1.0,0.0
16,[N+]=O,1.0,0.0
17,[N+][O-],1.0,0.0
18,nn,1.0,0.0
19,ncN,1.0,0.0
20,ncn,1.0,0.0
21,cnc,1.0,0.0
22,cnn,1.0,0.0
23,ccn,2.0,0.0
24,Ccc,2.0,1.0
25,Ccn,2.0,0.0
26,cC=C,1.0,1.0
27,Cco,1.0,1.0
28,ccc,3.0,1.0
29,cco,2.0,1.0
30,coc,1.0,0.0
31,cc[N+],1.0,0.0
32,[N+]co,1.0,0.0
33,c[N+]=O,1.0,0.0
34,c[N+][O-],1.0,0.0
35,O=[N+][O-],1.0,0.0
36,nc(n)N,1.0,0.0
37,cncN,1.0,0.0
38,nncN,1.0,0.0
39,ncnn,1.0,0.0
40,cncn,1.0,0.0
41,ccnc,1.0,0.0
42,cnnc,1.0,0.0
43,Cccn,2.0,0.0
44,nccn,1.0,0.0
45,Cc(c)n,1.0,0.0
46,C=Ccc,1.0,1.0
47,ccnn,1.0,0.0
48,C=Ccn,1.0,0.0
49,Ccnn,1.0,0.0
50,cC=Cc,1.0,0.0
51,C=Cco,1.0,0.0
52,Cccc,2.0,1.0
53,Cc(c)o,1.0,0.0
54,Ccoc,1.0,0.0
55,cccc,3.0,1.0
56,ccco,2.0,0.0
57,ccoc,1.0,0.0
58,coc[N+],1.0,0.0
59,ccc[N+],1.0,0.0
60,cc([N+])o,1.0,0.0
61,cc[N+]=O,1.0,0.0
62,cc[N+][O-],1.0,0.0
63,O=[N+]co,1.0,0.0
64,[O-][N+]co,1.0,0.0
65,c[N+](=O)[O-],1.0,0.0
66,cnc(n)N,1.0,0.0
67,nnc(n)N,1.0,0.0
68,ccncN,1.0,0.0
69,cnncN,1.0,0.0
70,cncnn,1.0,0.0
71,cnncn,1.0,0.0
72,ccncn,1.0,0.0
73,Cccnc,1.0,0.0
74,cnccn,1.0,0.0
75,ccnnc,1.0,0.0
76,Ccnnc,1.0,0.0
77,Cc(n)cn,1.0,0.0
78,C=Cccn,1.0,0.0
79,nccnn,1.0,0.0
80,C=Cc(c)n,1.0,0.0
81,Cc(c)nn,1.0,0.0
82,cC=Ccc,1.0,0.0
83,cC=Ccn,1.0,0.0
84,C=Ccnn,1.0,0.0
85,cC=Cco,1.0,0.0
86,C=Cccc,1.0,1.0
87,C=Cc(c)o,1.0,0.0
88,C=Ccoc,1.0,0.0
89,Ccccc,1.0,1.0
90,Cc(o)cc,1.0,0.0
91,Cc(c)oc,1.0,0.0
92,Ccocc,1.0,0.0
93,Ccoc[N+],1.0,0.0
94,cccc[N+],1.0,0.0
95,c1ccoc1,1.0,0.0
96,ccoc[N+],1.0,0.0
97,coc(c)[N+],1.0,0.0
98,coc[N+]=O,1.0,0.0
99,coc[N+][O-],1.0,0.0
100,ccc([N+])o,1.0,0.0
101,ccc[N+]=O,1.0,0.0
102,ccc[N+][O-],1.0,0.0
103,cc(o)[N+]=O,1.0,0.0
104,cc(o)[N+][O-],1.0,0.0
105,cc[N+](=O)[O-],1.0,0.0
106,O=[N+]([O-])co,1.0,0.0
107,ccnc(n)N,1.0,0.0
108,cnc(N)nn,1.0,0.0
109,cnnc(n)N,1.0,0.0
110,CccncN,1.0,0.0
111,nccncN,1.0,0.0
112,ccnncN,1.0,0.0
113,CcnncN,1.0,0.0
114,c1cnncn1,1.0,0.0
115,Ccnncn,1.0,0.0
116,Cccncn,1.0,0.0
117,Cc(n)cnc,1.0,0.0
118,C=Cccnc,1.0,0.0
119,Cc(c)nnc,1.0,0.0
120,C=Ccnnc,1.0,0.0
121,C=Cc(n)cn,1.0,0.0
122,Cc(cn)nn,1.0,0.0
123,cC=Cccn,1.0,0.0
124,cC=Cc(c)n,1.0,0.0
125,C=Cc(c)nn,1.0,0.0
126,ccC=Ccc,1.0,0.0
127,ccC=Cco,1.0,0.0
128,ccC=Ccn,1.0,0.0
129,ncC=Cco,1.0,0.0
130,cC=Ccnn,1.0,0.0
131,cC=Cc(c)o,1.0,0.0
132,cC=Cccc,1.0,0.0
133,cC=Ccoc,1.0,0.0
134,C=Cc(o)cc,1.0,0.0
135,C=Ccccc,1.0,1.0
136,C=Cc(c)oc,1.0,0.0
137,C=Ccocc,1.0,0.0
138,C=Ccoc[N+],1.0,0.0
139,Cc1ccco1,1.0,0.0
140,Ccccc[N+],1.0,0.0
141,Cc(c)oc[N+],1.0,0.0
142,Ccoc(c)[N+],1.0,0.0
143,Ccoc[N+]=O,1.0,0.0
144,Ccoc[N+][O-],1.0,0.0
145,[N+]c1ccco1,1.0,0.0
146,cccc[N+]=O,1.0,0.0
147,cccc[N+][O-],1.0,0.0
148,ccoc[N+]=O,1.0,0.0
149,ccoc[N+][O-],1.0,0.0
150,coc(c)[N+]=O,1.0,0.0
151,coc(c)[N+][O-],1.0,0.0
152,coc[N+](=O)[O-],1.0,0.0
153,ccc(o)[N+]=O,1.0,0.0
154,ccc(o)[N+][O-],1.0,0.0
155,ccc[N+](=O)[O-],1.0,0.0
156,cc(o)[N+](=O)[O-],1.0,0.0
157,Nc1nccnn1,1.0,0.0
158,Cccnc(n)N,1.0,0.0
159,Ccnnc(n)N,1.0,0.0
160,Cc(n)cncN,1.0,0.0
161,C=CccncN,1.0,0.0
162,Cc(c)nncN,1.0,0.0
163,C=CcnncN,1.0,0.0
164,Cc1cncnn1,1.0,0.0
165,C=Ccnncn,1.0,0.0
166,C=Cccncn,1.0,0.0
167,C=Cc(n)cnc,1.0,0.0
168,cC=Cccnc,1.0,0.0
169,C=Cc(c)nnc,1.0,0.0
170,cC=Ccnnc,1.0,0.0
171,cC=Cc(n)cn,1.0,0.0
172,C=Cc(cn)nn,1.0,0.0
173,ccC=Cccn,1.0,0.0
174,nccC=Cco,1.0,0.0
175,ccC=Cc(c)n,1.0,0.0
176,cc(n)C=Cco,1.0,0.0
177,cC=Cc(c)nn,1.0,0.0
178,ccC=Cc(c)o,1.0,0.0
179,ccC=Cccc,1.0,0.0
