;Substructure;OccurrenceList0;OccurrenceList1;True/False Bonferonni;True/False Benj-Hoch
0;N;1,0,1,0;1,1,1,1;False;False
1;CO;1,0,0,0;0,0,0,1;False;False
2;NN;1,0,0,0;0,0,0,0;False;False
3;N=CO;1,0,0,0;0,0,0,0;False;False
4;NCO;1,0,0,0;0,0,0,0;False;False
5;NN=CO;1,0,0,0;0,0,0,0;False;False
6;N=C(N)O;1,0,0,0;0,0,0,0;False;False
7;NNCO;1,0,0,0;0,0,0,0;False;False
8;NN=C(N)O;1,0,0,0;0,0,0,0;False;False
9;N=C(O)NN;1,0,0,0;0,0,0,0;False;False
10;NN=C(O)NN;1,0,0,0;0,0,0,0;False;False
11;C;0,1,0,1;1,1,1,1;False;False
12;O=CO;0,1,1,1;1,1,1,0;False;False
13;CC;0,1,0,1;1,1,1,1;False;False
14;COC=O;0,1,0,0;0,0,0,0;False;False
15;CC(=O)O;0,1,0,1;1,1,1,0;False;False
16;CCOC=O;0,1,0,0;0,0,0,0;False;False
17;COC(C)=O;0,1,0,0;0,0,0,0;False;False
18;CCC(=O)O;0,1,0,1;1,0,1,0;False;False
19;CCOC(C)=O;0,1,0,0;0,0,0,0;False;False
20;CCC(=O)OC;0,1,0,0;0,0,0,0;False;False
21;O=C(O)CCC(=O)O;0,1,0,0;0,0,0,0;False;False
22;CCOC(=O)CC;0,1,0,0;0,0,0,0;False;False
23;COC(=O)CCC(=O)O;0,1,0,0;0,0,0,0;False;False
24;CCOC(=O)CCC(=O)O;0,1,0,0;0,0,0,0;False;False
25;COC(=O)CCC(=O)OC;0,1,0,0;0,0,0,0;False;False
26;CCOC(=O)CCC(=O)OC;0,1,0,0;0,0,0,0;False;False
27;CCOC(=O)CCC(=O)OCC;0,1,0,0;0,0,0,0;False;False
28;c;0,0,1,1;1,1,1,0;False;False
29;cO;0,0,1,0;1,0,0,0;False;False
30;cN;0,0,1,0;0,0,0,0;False;False
31;cc;0,0,1,1;1,1,1,0;False;False
32;cC(=O)O;0,0,1,0;0,0,0,0;False;False
33;ccO;0,0,1,0;1,0,0,0;False;False
34;ccN;0,0,1,0;0,0,0,0;False;False
35;ccc;0,0,1,1;1,1,1,0;False;False
36;cccO;0,0,1,0;1,0,0,0;False;False
37;ccC(=O)O;0,0,1,0;0,0,0,0;False;False
38;O=C(O)ccO;0,0,1,0;0,0,0,0;False;False
